,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
544,2018-04-09 15:03:20+00:00,-0.7165,0.352,0.648,Washington Post,0.0,Opinion: Trump’s weakness on Syria opens the door for more chemical attacks https://t.co/PJM592ABVU,45
545,2018-04-09 14:55:17+00:00,0.0,0.0,1.0,Washington Post,0.0,Opinion: The perils of the Trump bubble https://t.co/ufBbmgQNax,46
546,2018-04-09 14:44:05+00:00,-0.4767,0.147,0.853,Washington Post,0.0,"U.N. to meet on chemical attack in Syria, though Russia is expected to stick up for Assad government https://t.co/r5avcIgymS",47
547,2018-04-09 14:39:27+00:00,0.1779,0.0,0.805,Washington Post,0.195,Anti-vaccine reviewers target children’s books on Amazon https://t.co/6f1C996DQf,48
548,2018-04-09 14:32:19+00:00,-0.1027,0.142,0.735,Washington Post,0.123,"Analysis: Like Obama, Macron said chemical weapons were his ""red line"" in Syria. So now what? https://t.co/bSAk1cAuuu",49
549,2018-04-09 14:22:22+00:00,-0.3182,0.133,0.867,Washington Post,0.0,"After 73 years, the remains of a Tuskegee airman lost over Europe may have been found https://t.co/iU7gmVuq0c",50
550,2018-04-09 14:15:12+00:00,-0.6705,0.29,0.71,Washington Post,0.0,"Senior ISIS leader killed in northern Afghanistan, highlighting shifting militant allegiances https://t.co/KsvTdKgrt3",51
551,2018-04-09 14:07:50+00:00,0.6369,0.0,0.781,Washington Post,0.219,"""How the FBI uses the Freedom of Information Act to track down whistleblowers"" https://t.co/gtgG9htB8M via @PostEverything",52
552,2018-04-09 14:03:12+00:00,0.1779,0.0,0.909,Washington Post,0.091,"Florida Gov. Rick Scott announces U.S. Senate bid, sets up competitive race against Democratic incumbent Bill Nelson https://t.co/wB1dcrfU2y",53
553,2018-04-09 14:00:27+00:00,-0.3182,0.369,0.426,Washington Post,0.206,Analysis: Scott Pruitt's troubles have no easy remedy https://t.co/LpoG5aAyva,54
554,2018-04-09 13:50:18+00:00,-0.5994,0.231,0.769,Washington Post,0.0,"On the cusp of 112, a whirlwind tour for World War II’s oldest veteran https://t.co/X7fEi3arIA",55
555,2018-04-09 13:41:04+00:00,-0.296,0.136,0.864,Washington Post,0.0,"Andrew Carnegie built 1,700 public libraries. But some towns refused the steel baron’s money. https://t.co/QIq0oU6GQE",56
556,2018-04-09 13:35:01+00:00,0.0,0.0,1.0,Washington Post,0.0,"Perspective: ""Mr. President, you don’t know a poorly written novel."" https://t.co/5Yp1oSH2fI",57
557,2018-04-09 13:28:58+00:00,0.0258,0.0,0.916,Washington Post,0.084,Analysis: Trump gets schooled in Syria on how much his words matter https://t.co/QIYKByMu4a,58
558,2018-04-09 13:22:45+00:00,0.0,0.0,1.0,Washington Post,0.0,Perspective: The real goal of Donald Trump’s MS-13 fearmongering https://t.co/hMskGZzXov,59
559,2018-04-09 13:16:29+00:00,-0.5267,0.274,0.726,Washington Post,0.0,"Analysis: Mixed messages on what Trump dubs ""stupid trade"" https://t.co/yxH28l7sLV",60
560,2018-04-09 13:09:56+00:00,0.0,0.0,1.0,Washington Post,0.0,"John Krasinski’s ""A Quiet Place"" is a hit. Why did his breakout role take so long after ""The Office""? https://t.co/x23EuR7h0X",61
561,2018-04-09 13:03:27+00:00,0.0,0.0,1.0,Washington Post,0.0,"Molly Ringwald reckons with the ""The Breakfast Club"" in the #MeToo era https://t.co/m5ytUix8Gu",62
